"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2010","18","18000","Indiana","6,294,427","960,402","942,495","978,309","942,495 to 978,309","15.3","15.0","15.6","15.0 to 15.6","1,576,164","340,700","330,138","351,262","330,138 to 351,262","21.6","20.9","22.3","20.9 to 22.3","1,143,084","224,269","214,987","233,551","214,987 to 233,551","19.6","18.8","20.4","18.8 to 20.4","424,068","107,909","102,827","112,991","102,827 to 112,991","25.4","24.2","26.6","24.2 to 26.6","$44,616","$44,178","$45,054","$44,178 to $45,054"
"2009","18","18000","Indiana","6,228,213","895,619","878,284","912,953","878,284 to 912,953","14.4","14.1","14.7","14.1 to 14.7","1,560,301","310,140","299,765","320,514","299,765 to 320,514","19.9","19.2","20.5","19.2 to 20.5","1,116,468","196,437","187,875","204,999","187,875 to 204,999","17.6","16.8","18.4","16.8 to 18.4","436,905","107,473","101,977","112,970","101,977 to 112,970","24.6","23.3","25.9","23.3 to 25.9","$45,427","$44,983","$45,870","$44,983 to $45,870"
"2008","18","18000","Indiana","6,175,905","799,567","783,820","815,314","783,820 to 815,314","12.9","12.7","13.2","12.7 to 13.2","1,549,507","277,503","267,487","287,520","267,487 to 287,520","17.9","17.3","18.6","17.3 to 18.6","1,111,855","176,397","167,904","184,890","167,904 to 184,890","15.9","15.1","16.6","15.1 to 16.6","430,010","94,186","89,069","99,303","89,069 to 99,303","21.9","20.7","23.1","20.7 to 23.1","$48,010","$47,481","$48,540","$47,481 to $48,540"
"2007","18","18000","Indiana","6,145,054","755,245","740,873","769,617","740,873 to 769,617","12.3","12.1","12.5","12.1 to 12.5","1,549,769","265,192","256,302","274,081","256,302 to 274,081","17.1","16.5","17.7","16.5 to 17.7","1,111,954","166,365","158,735","173,995","158,735 to 173,995","15.0","14.3","15.6","14.3 to 15.6","427,607","89,290","84,777","93,803","84,777 to 93,803","20.9","19.8","21.9","19.8 to 21.9","$47,422","$47,052","$47,793","$47,052 to $47,793"
"2006","18","18000","Indiana","6,125,594","768,642","752,872","784,412","752,872 to 784,412","12.5","12.3","12.8","12.3 to 12.8","1,546,475","268,729","258,879","278,579","258,879 to 278,579","17.4","16.7","18.0","16.7 to 18.0","1,113,030","169,960","161,204","178,716","161,204 to 178,716","15.3","14.5","16.1","14.5 to 16.1","423,165","89,319","84,762","93,877","84,762 to 93,877","21.1","20.0","22.2","20.0 to 22.2","$45,414","$45,005","$45,822","$45,005 to $45,822"
"2005","18","18000","Indiana","6,059,456","736,632","720,269","752,995","720,269 to 752,995","12.2","11.9","12.4","11.9 to 12.4","1,561,841","258,976","249,110","268,841","249,110 to 268,841","16.6","15.9","17.2","15.9 to 17.2","1,133,245","166,214","157,600","174,828","157,600 to 174,828","14.7","13.9","15.4","13.9 to 15.4","420,117","84,394","79,840","88,948","79,840 to 88,948","20.1","19.0","21.2","19.0 to 21.2","$44,051","$43,569","$44,532","$43,569 to $44,532"
"2004","18","18000","Indiana","6,151,698","683,371","632,133","734,609","632,133 to 734,609","11.1","10.3","11.9","10.3 to 11.9","1,595,746","250,998","224,853","277,143","224,853 to 277,143","15.7","14.1","17.4","14.1 to 17.4","1,141,287","155,506","132,326","178,686","132,326 to 178,686","13.6","11.6","15.7","11.6 to 15.7","427,456","84,784","72,772","96,795","72,772 to 96,795","19.8","17.0","22.6","17.0 to 22.6","$43,217","$41,838","$44,595","$41,838 to $44,595"
"2003","18","18000","Indiana","6,111,108","609,645","570,409","648,882","570,409 to 648,882","10.0","9.3","10.6","9.3 to 10.6","1,590,091","217,420","197,186","237,654","197,186 to 237,654","13.7","12.4","14.9","12.4 to 14.9","1,138,790","129,878","114,590","145,166","114,590 to 145,166","11.4","10.1","12.7","10.1 to 12.7","424,295","76,413","63,650","89,175","63,650 to 89,175","18.0","15.0","21.0","15.0 to 21.0","$43,323","$41,972","$44,675","$41,972 to $44,675"
"2002","18","18000","Indiana","6,081,423","585,247","544,946","625,549","544,946 to 625,549","9.6","9.0","10.3","9.0 to 10.3","1,594,851","189,829","168,600","211,058","168,600 to 211,058","11.9","10.6","13.2","10.6 to 13.2","1,145,852","120,125","102,332","137,918","102,332 to 137,918","10.5","8.9","12.0","8.9 to 12.0","425,472","61,481","49,885","73,077","49,885 to 73,077","14.5","11.7","17.2","11.7 to 17.2","$41,973","$40,338","$43,608","$40,338 to $43,608"
"2001","18","18000","Indiana","6,028,841","543,742","507,187","580,298","507,187 to 580,298","9.0","8.4","9.6","8.4 to 9.6","1,586,018","192,843","167,869","217,816","167,869 to 217,816","12.2","10.6","13.7","10.6 to 13.7","1,129,487","115,806","93,854","137,758","93,854 to 137,758","10.3","8.3","12.2","8.3 to 12.2","425,839","65,559","56,372","74,745","56,372 to 74,745","15.4","13.2","17.6","13.2 to 17.6","$42,073","$40,645","$43,501","$40,645 to $43,501"
"2000","18","18000","Indiana","5,997,637","529,323","493,499","565,147","493,499 to 565,147","8.8","8.2","9.4","8.2 to 9.4","1,571,256","190,403","170,529","210,277","170,529 to 210,277","12.1","10.9","13.4","10.9 to 13.4","1,124,237","112,712","95,986","129,438","95,986 to 129,438","10.0","8.5","11.5","8.5 to 11.5","421,892","67,126","56,702","77,550","56,702 to 77,550","15.9","13.4","18.4","13.4 to 18.4","$41,511","$39,795","$43,227","$39,795 to $43,227"
"1999","18","18000","Indiana","5,965,230","517,883","462,991","572,774","462,991 to 572,774","8.7","7.8","9.6","7.8 to 9.6","1,557,979","180,690","144,054","217,325","144,054 to 217,325","11.6","9.2","13.9","9.2 to 13.9","1,114,166","111,522","80,267","142,777","80,267 to 142,777","10.0","7.2","12.8","7.2 to 12.8","419,475","58,459","41,693","75,226","41,693 to 75,226","13.9","9.9","17.9","9.9 to 17.9","$40,654","$39,300","$42,008","$39,300 to $42,008"
"1998","18","18000","Indiana","5,905,936","588,765","535,725","641,804","535,725 to 641,804","10.0","9.1","10.9","9.1 to 10.9","1,557,259","219,858","185,054","254,662","185,054 to 254,662","14.1","11.9","16.4","11.9 to 16.4","1,093,080","137,395","106,998","167,792","106,998 to 167,792","12.6","9.8","15.4","9.8 to 15.4","427,920","66,054","49,007","83,102","49,007 to 83,102","15.4","11.5","19.4","11.5 to 19.4","$39,719","$37,970","$41,467","$37,970 to $41,467"
"1997","18","18000","Indiana","NA","583,055","530,043","636,067","530,043 to 636,067","9.9","9.0","10.8","9.0 to 10.8","NA","228,246","200,488","256,004","200,488 to 256,004","14.8","13.0","16.6","13.0 to 16.6","NA","144,372","121,462","167,282","121,462 to 167,282","13.4","11.3","15.6","11.3 to 15.6","NA","66,574","51,641","81,506","51,641 to 81,506","15.9","12.4","19.5","12.4 to 19.5","$37,909","$36,191","$39,628","$36,191 to $39,628"
"1996","18","18000","Indiana","NA","543,118","492,130","594,106","492,130 to 594,106","9.3","8.4","10.2","8.4 to 10.2","NA","201,160","173,008","229,312","173,008 to 229,312","13.0","11.2","14.8","11.2 to 14.8","NA","118,046","91,978","144,114","91,978 to 144,114","10.7","8.3","13.1","8.3 to 13.1","NA","68,430","55,085","81,774","55,085 to 81,774","16.1","13.0","19.2","13.0 to 19.2","$35,502","$33,619","$37,386","$33,619 to $37,386"
"1995","18","18000","Indiana","NA","571,135","540,261","602,009","540,261 to 602,009","9.8","9.3","10.4","9.3 to 10.4","NA","224,218","205,674","242,761","205,674 to 242,761","14.7","13.5","15.9","13.5 to 15.9","NA","140,393","128,929","151,857","128,929 to 151,857","12.9","11.8","13.9","11.8 to 13.9","NA","73,223","58,516","87,929","58,516 to 87,929","17.4","13.9","20.9","13.9 to 20.9","$34,368","$32,820","$35,916","$32,820 to $35,916"
"1993","18","18000","Indiana","NA","679,988","629,950","730,026","629,950 to 730,026","11.9","11.0","12.8","11.0 to 12.8","NA","260,217","236,519","283,915","236,519 to 283,915","17.3","15.7","18.8","15.7 to 18.8","NA","162,399","142,894","181,904","142,894 to 181,904","15.2","13.4","17.0","13.4 to 17.0","NA","90,503","82,716","98,290","82,716 to 98,290","21.5","19.7","23.4","19.7 to 23.4","$31,055","$29,806","$32,304","$29,806 to $32,304"
"1989","18","18000","Indiana","NA","560,095","533,456","586,734","533,456 to 586,734","10.3","9.8","10.7","9.8 to 10.7","NA","224,746","207,959","241,533","207,959 to 241,533","15.3","14.1","16.4","14.1 to 16.4","NA","141,455","127,849","155,061","127,849 to 155,061","13.5","12.2","14.9","12.2 to 14.9","NA","72,657","62,001","83,313","62,001 to 83,313","17.7","15.1","20.3","15.1 to 20.3","$27,769","$26,596","$28,942","$26,596 to $28,942"
"2014","19","19000","Iowa","3,004,852","368,678","358,553","378,803","358,553 to 378,803","12.3","12.0","12.6","12.0 to 12.6","710,872","110,382","104,929","115,835","104,929 to 115,835","15.5","14.7","16.3","14.7 to 16.3","516,120","74,948","69,961","79,935","69,961 to 79,935","14.5","13.5","15.5","13.5 to 15.5","191,272","31,946","29,841","34,051","29,841 to 34,051","16.7","15.6","17.8","15.6 to 17.8","$53,816","$53,087","$54,545","$53,087 to $54,545"
"2013","19","19000","Iowa","2,991,661","377,037","367,316","386,758","367,316 to 386,758","12.6","12.3","12.9","12.3 to 12.9","712,692","114,304","108,740","119,868","108,740 to 119,868","16.0","15.2","16.8","15.2 to 16.8","516,865","77,634","72,731","82,537","72,731 to 82,537","15.0","14.1","15.9","14.1 to 15.9","191,326","32,564","29,925","35,203","29,925 to 35,203","17.0","15.6","18.4","15.6 to 18.4","$52,286","$51,764","$52,808","$51,764 to $52,808"
"2012","19","19000","Iowa","2,974,222","377,110","367,628","386,592","367,628 to 386,592","12.7","12.4","13.0","12.4 to 13.0","710,390","114,105","108,686","119,524","108,686 to 119,524","16.1","15.3","16.9","15.3 to 16.9","514,519","73,339","68,587","78,091","68,587 to 78,091","14.3","13.4","15.2","13.4 to 15.2","193,065","37,956","35,450","40,462","35,450 to 40,462","19.7","18.4","21.0","18.4 to 21.0","$50,997","$50,573","$51,421","$50,573 to $51,421"
"2011","19","19000","Iowa","2,963,596","376,300","367,232","385,368","367,232 to 385,368","12.7","12.4","13.0","12.4 to 13.0","710,854","121,250","115,876","126,624","115,876 to 126,624","17.1","16.3","17.9","16.3 to 17.9","512,079","78,963","74,168","83,758","74,168 to 83,758","15.4","14.5","16.3","14.5 to 16.3","195,692","39,198","36,602","41,794","36,602 to 41,794","20.0","18.7","21.3","18.7 to 21.3","$49,545","$48,882","$50,208","$48,882 to $50,208"
"2010","19","19000","Iowa","2,950,202","368,965","358,787","379,143","358,787 to 379,143","12.5","12.2","12.8","12.2 to 12.8","712,652","115,731","110,103","121,359","110,103 to 121,359","16.2","15.4","17.0","15.4 to 17.0","511,131","72,763","67,783","77,743","67,783 to 77,743","14.2","13.2","15.2","13.2 to 15.2","197,934","39,502","36,745","42,259","36,745 to 42,259","20.0","18.6","21.4","18.6 to 21.4","$48,031","$47,421","$48,641","$47,421 to $48,641"
"2009","19","19000","Iowa","2,905,377","342,309","333,186","351,431","333,186 to 351,431","11.8","11.5","12.1","11.5 to 12.1","701,002","109,384","104,021","114,747","104,021 to 114,747","15.6","14.8","16.4","14.8 to 16.4","495,294","64,558","60,055","69,061","60,055 to 69,061","13.0","12.1","13.9","12.1 to 13.9","200,099","40,160","37,259","43,061","37,259 to 43,061","20.1","18.6","21.5","18.6 to 21.5","$48,065","$47,648","$48,482","$47,648 to $48,482"
"2008","19","19000","Iowa","2,899,767","331,057","322,082","340,033","322,082 to 340,033","11.4","11.1","11.7","11.1 to 11.7","700,634","99,569","94,498","104,640","94,498 to 104,640","14.2","13.5","14.9","13.5 to 14.9","498,284","59,823","55,513","64,133","55,513 to 64,133","12.0","11.1","12.9","11.1 to 12.9","197,143","35,072","32,439","37,704","32,439 to 37,704","17.8","16.5","19.1","16.5 to 19.1","$49,007","$48,380","$49,634","$48,380 to $49,634"
"2007","19","19000","Iowa","2,881,771","316,303","307,371","325,234","307,371 to 325,234","11.0","10.7","11.3","10.7 to 11.3","695,509","95,200","90,288","100,111","90,288 to 100,111","13.7","13.0","14.4","13.0 to 14.4","500,413","58,426","54,149","62,703","54,149 to 62,703","11.7","10.8","12.5","10.8 to 12.5","190,977","32,798","30,381","35,214","30,381 to 35,214","17.2","15.9","18.4","15.9 to 18.4","$47,324","$46,771","$47,877","$46,771 to $47,877"
"2006","19","19000","Iowa","2,878,433","315,973","308,007","323,939","308,007 to 323,939","11.0","10.7","11.3","10.7 to 11.3","696,074","96,323","91,986","100,659","91,986 to 100,659","13.8","13.2","14.5","13.2 to 14.5","502,995","59,918","56,081","63,755","56,081 to 63,755","11.9","11.1","12.7","11.1 to 12.7","188,416","31,958","29,927","33,989","29,927 to 33,989","17.0","15.9","18.0","15.9 to 18.0","$44,560","$44,059","$45,061","$44,059 to $45,061"
"2005","19","19000","Iowa","2,853,598","308,713","300,673","316,753","300,673 to 316,753","10.8","10.5","11.1","10.5 to 11.1","657,621","91,700","87,023","96,376","87,023 to 96,376","13.9","13.2","14.7","13.2 to 14.7","476,685","57,449","53,412","61,486","53,412 to 61,486","12.1","11.2","12.9","11.2 to 12.9","177,651","30,954","28,789","33,120","28,789 to 33,120","17.4","16.2","18.6","16.2 to 18.6","$43,610","$43,114","$44,107","$43,114 to $44,107"
"2004","19","19000","Iowa","2,905,637","304,598","280,304","328,892","280,304 to 328,892","10.5","9.6","11.3","9.6 to 11.3","668,632","87,899","77,890","97,909","77,890 to 97,909","13.1","11.6","14.6","11.6 to 14.6","482,261","53,683","44,868","62,498","44,868 to 62,498","11.1","9.3","13.0","9.3 to 13.0","179,370","29,236","24,684","33,787","24,684 to 33,787","16.3","13.8","18.8","13.8 to 18.8","$42,865","$41,330","$44,400","$41,330 to $44,400"
"2003","19","19000","Iowa","2,892,343","263,817","244,880","282,753","244,880 to 282,753","9.1","8.5","9.8","8.5 to 9.8","678,387","83,151","74,721","91,581","74,721 to 91,581","12.3","11.0","13.5","11.0 to 13.5","491,964","49,808","43,396","56,220","43,396 to 56,220","10.1","8.8","11.4","8.8 to 11.4","178,350","28,662","23,356","33,969","23,356 to 33,969","16.1","13.1","19.0","13.1 to 19.0","$42,278","$40,822","$43,733","$40,822 to $43,733"
"2002","19","19000","Iowa","2,886,448","262,013","243,122","280,903","243,122 to 280,903","9.1","8.4","9.7","8.4 to 9.7","691,508","75,288","66,465","84,111","66,465 to 84,111","10.9","9.6","12.2","9.6 to 12.2","500,894","47,585","40,150","55,020","40,150 to 55,020","9.5","8.0","11.0","8.0 to 11.0","181,172","23,852","19,094","28,611","19,094 to 28,611","13.2","10.5","15.8","10.5 to 15.8","$41,052","$39,341","$42,764","$39,341 to $42,764"
"2001","19","19000","Iowa","2,868,973","236,115","219,304","252,927","219,304 to 252,927","8.2","7.6","8.8","7.6 to 8.8","697,555","68,259","56,752","79,765","56,752 to 79,765","9.8","8.1","11.4","8.1 to 11.4","512,866","41,088","31,057","51,119","31,057 to 51,119","8.0","6.1","10.0","6.1 to 10.0","180,681","23,232","19,302","27,163","19,302 to 27,163","12.9","10.7","15.0","10.7 to 15.0","$41,216","$39,770","$42,661","$39,770 to $42,661"
"2000","19","19000","Iowa","2,864,222","237,684","221,074","254,294","221,074 to 254,294","8.3","7.7","8.9","7.7 to 8.9","703,991","75,952","67,314","84,590","67,314 to 84,590","10.8","9.6","12.0","9.6 to 12.0","516,425","45,872","38,460","53,284","38,460 to 53,284","8.9","7.4","10.3","7.4 to 10.3","181,497","25,628","21,154","30,103","21,154 to 30,103","14.1","11.7","16.6","11.7 to 16.6","$40,443","$38,655","$42,232","$38,655 to $42,232"
"1999","19","19000","Iowa","2,865,354","243,340","218,128","268,552","218,128 to 268,552","8.5","7.6","9.4","7.6 to 9.4","727,757","79,806","62,786","96,826","62,786 to 96,826","11.0","8.6","13.3","8.6 to 13.3","522,571","46,514","31,684","61,344","31,684 to 61,344","8.9","6.1","11.7","6.1 to 11.7","185,830","27,333","19,605","35,062","19,605 to 35,062","14.7","10.5","18.9","10.5 to 18.9","$39,537","$38,054","$41,019","$38,054 to $41,019"
"1998","19","19000","Iowa","2,845,329","270,604","244,108","297,100","244,108 to 297,100","9.5","8.6","10.4","8.6 to 10.4","739,423","101,774","85,253","118,295","85,253 to 118,295","13.8","11.5","16.0","11.5 to 16.0","528,968","63,941","49,513","78,369","49,513 to 78,369","12.1","9.4","14.8","9.4 to 14.8","190,024","30,849","23,428","38,269","23,428 to 38,269","16.2","12.3","20.1","12.3 to 20.1","$38,159","$36,363","$39,955","$36,363 to $39,955"
"1997","19","19000","Iowa","NA","280,797","254,484","307,110","254,484 to 307,110","9.9","9.0","10.9","9.0 to 10.9","NA","100,262","87,008","113,516","87,008 to 113,516","13.7","11.9","15.5","11.9 to 15.5","NA","64,348","53,110","75,586","53,110 to 75,586","12.1","10.0","14.2","10.0 to 14.2","NA","28,623","22,192","35,053","22,192 to 35,053","15.4","11.9","18.9","11.9 to 18.9","$35,427","$33,681","$37,172","$33,681 to $37,172"
"1996","19","19000","Iowa","NA","269,368","244,569","294,166","244,569 to 294,166","9.5","8.6","10.4","8.6 to 10.4","NA","93,292","80,494","106,091","80,494 to 106,091","12.6","10.9","14.3","10.9 to 14.3","NA","56,218","44,317","68,119","44,317 to 68,119","10.4","8.2","12.6","8.2 to 12.6","NA","29,423","23,469","35,377","23,469 to 35,377","15.7","12.5","18.9","12.5 to 18.9","$33,721","$31,827","$35,616","$31,827 to $35,616"
"1995","19","19000","Iowa","NA","276,364","260,650","292,078","260,650 to 292,078","9.8","9.2","10.3","9.2 to 10.3","NA","101,690","92,564","110,815","92,564 to 110,815","13.7","12.5","14.9","12.5 to 14.9","NA","62,281","56,148","68,414","56,148 to 68,414","11.5","10.3","12.6","10.3 to 12.6","NA","34,134","27,302","40,966","27,302 to 40,966","18.0","14.4","21.6","14.4 to 21.6","$33,436","$31,847","$35,025","$31,847 to $35,025"
"1993","19","19000","Iowa","NA","312,380","287,506","337,254","287,506 to 337,254","11.1","10.2","12.0","10.2 to 12.0","NA","112,170","99,671","124,669","99,671 to 124,669","15.1","13.4","16.8","13.4 to 16.8","NA","70,282","59,790","80,774","59,790 to 80,774","13.1","11.2","15.1","11.2 to 15.1","NA","38,072","33,833","42,311","33,833 to 42,311","19.8","17.6","22.0","17.6 to 22.0","$28,867","$27,668","$30,066","$27,668 to $30,066"
"1989","19","19000","Iowa","NA","283,815","270,538","297,092","270,538 to 297,092","10.4","9.9","10.9","9.9 to 10.9","NA","111,222","103,328","119,116","103,328 to 119,116","15.3","14.2","16.4","14.2 to 16.4","NA","69,842","63,456","76,228","63,456 to 76,228","13.5","12.2","14.7","12.2 to 14.7","NA","35,969","30,959","40,979","30,959 to 40,979","18.0","15.5","20.5","15.5 to 20.5","$26,169","$25,014","$27,324","$25,014 to $27,324"
"2014","20","20000","Kansas","2,821,429","381,506","371,806","391,206","371,806 to 391,206","13.5","13.2","13.8","13.2 to 13.8","711,445","125,562","120,243","130,881","120,243 to 130,881","17.6","16.9","18.3","16.9 to 18.3","510,605","83,873","79,397","88,349","79,397 to 88,349","16.4","15.5","17.3","15.5 to 17.3","197,242","38,604","35,853","41,355","35,853 to 41,355","19.6","18.2","21.0","18.2 to 21.0","$52,392","$51,712","$53,072","$51,712 to $53,072"
"2013","20","20000","Kansas","2,811,674","391,718","380,565","402,871","380,565 to 402,871","13.9","13.5","14.3","13.5 to 14.3","713,209","131,251","124,782","137,720","124,782 to 137,720","18.4","17.5","19.3","17.5 to 19.3","512,053","84,325","78,956","89,694","78,956 to 89,694","16.5","15.5","17.5","15.5 to 17.5","197,471","43,706","40,107","47,305","40,107 to 47,305","22.1","20.3","23.9","20.3 to 23.9","$50,892","$50,299","$51,485","$50,299 to $51,485"
"2012","20","20000","Kansas","2,802,171","392,095","383,225","400,965","383,225 to 400,965","14.0","13.7","14.3","13.7 to 14.3","711,813","135,261","130,015","140,507","130,015 to 140,507","19.0","18.3","19.7","18.3 to 19.7","508,674","87,594","82,882","92,306","82,882 to 92,306","17.2","16.3","18.1","16.3 to 18.1","199,388","44,479","42,128","46,830","42,128 to 46,830","22.3","21.1","23.5","21.1 to 23.5","$50,140","$49,632","$50,648","$49,632 to $50,648"
"2011","20","20000","Kansas","2,786,839","383,859","373,991","393,727","373,991 to 393,727","13.8","13.4","14.2","13.4 to 14.2","710,722","133,478","128,023","138,933","128,023 to 138,933","18.8","18.0","19.6","18.0 to 19.6","507,925","82,311","77,941","86,681","77,941 to 86,681","16.2","15.3","17.1","15.3 to 17.1","199,241","47,727","44,420","51,034","44,420 to 51,034","24.0","22.3","25.7","22.3 to 25.7","$48,844","$48,127","$49,561","$48,127 to $49,561"
"2010","20","20000","Kansas","2,775,358","374,677","364,111","385,243","364,111 to 385,243","13.5","13.1","13.9","13.1 to 13.9","714,397","129,009","122,672","135,346","122,672 to 135,346","18.1","17.2","19.0","17.2 to 19.0","508,829","81,077","75,631","86,523","75,631 to 86,523","15.9","14.8","17.0","14.8 to 17.0","201,917","44,653","41,582","47,724","41,582 to 47,724","22.1","20.6","23.6","20.6 to 23.6","$47,888","$47,096","$48,680","$47,096 to $48,680"
